address,lat,long
"1 N Brunswick St, 64601",39.7889679,-93.5458979
"26194 MO-20, 64021",39.105706,-93.6187451
"50726 State Hwy 15, 63531",40.2210147,-92.210618
"805 Mill St, 64402",40.2434899,-94.3390396
"1201 N 25th St, 64424",40.2792416,-94.0273924
"402 Locust, 64465",39.5497612,-94.331349
"200 W Chestnut, 63468",39.693653,-92.04222
"13975 US Hwy 63, 63548",40.5342643,-92.5397553
"1058 Hwy 36, 63437",39.7333551,-92.2433487
"307 Elm Street, 63435",40.1757481,-91.5596117
"105 S. High St, 64489",40.2067624,-94.5449372
"101 Main St, 64466",40.2005597,-95.0738505
"113 E Hawk, 64479",40.3523749,-94.6719045
"112 W Des Moines St, 63472",40.3948524,-91.5947695
"1901 S 6th St, 64501",39.746839,-94.851407
"1246 W Highway K, 64762",38.794891,-90.6983023
"19765 West 320th St, 64424",40.2511753,-94.0574173
"15311 N. Saline 65 Hwy., 65339",39.1939849,-93.3740552
"201 S Walnut, 64741",37.8376284,-94.5046188
"123 W. Main, 64742",38.4797868,-94.6113458
"172 S. Brown St, 64750",37.9564468,-94.1542638
"154 S. Main, 64765",37.9973283,-94.4432482
"320 Short St, 63361",38.9633026,-91.495819
"1101 W Main St, 64428",40.445454,-95.077314
"30537 CR 308, 64633",39.313312,-93.376848
"2140 County Highway 553, 63830",36.073652,-89.686089
"6720 N Hwy K, 63834",36.920954,-89.350556
"601 S Main St, 64020",38.982932,-93.567901
"17700 South T Hwy, 64741",37.834522,-94.578155
"340 Southwest Blvd, 66103",39.068277,-94.613446
"2306 Rochester St, 64120",39.121122,-94.555405
"1901 Hwy Kk, 64759",37.485682,-94.271792
"400 E Holt, 65265",39.169159,-91.878853
"199 W Front St, 63868",36.846229,-89.692126
"900 SW Lower Lake Rd, 64501",39.729129,-94.874798
